Unnamed: 0,Stadtbezirk,Ortsteil,Straße,HNr,HNrZusatz,PLZ,Gebaeudelage,Eigentumsform,Gebäudeart,Gebäudetyp,Nutzungszusatz,Anzahl Geschosse,Anzahl Wohneinheiten,Anzahl Gewerbeeinheiten,Aufzug,Baujahr,Baujahr Geschaetzt,Begehungsdatum,Denkmalschutz,Energieausweis Vorhanden,Heizungsart,Plattenbau,Stellplatz,Tiefgarage,Teilsanierung,Vollsanierung,Vollsanierung Geschaetzt,street,house_nr,hnr_add,building_id
15042,0 - Mitte,06 - Zentrum-Nord,Balzacstraße,1,,4105.0,01 - Vorderhaus,6 - Privateigentum,13 - Wohngebäude,135 - Mehrfamilien – Reihenhaus,,4.0,6.0,2.0,Nein,1900.0,Nein,2013-03-08,Ja,Nein,2 - Zentralheizung,Nein,Nein,Nein,Nein,1999.0,Nein,Balzacstraße,1.0,,DESN_00044B7
16958,0 - Mitte,06 - Zentrum-Nord,Berliner Straße,5,,4105.0,01 - Vorderhaus,6 - Privateigentum,13 - Wohngebäude,134 - Mehrfamilien – Einzelhaus,,4.0,7.0,3.0,Nein,1870.0,Nein,2010-10-26,Nein,Nein,2 - Zentralheizung,Nein,Nein,Nein,Nein,1995.0,Nein,Berliner Straße,5.0,,DESN_0005XQC
16959,0 - Mitte,06 - Zentrum-Nord,Berliner Straße,5,,4105.0,01 - Vorderhaus,6 - Privateigentum,13 - Wohngebäude,134 - Mehrfamilien – Einzelhaus,,4.0,7.0,3.0,Nein,1870.0,Nein,2010-10-26,Nein,Nein,2 - Zentralheizung,Nein,Nein,Nein,Nein,1995.0,Nein,Berliner Straße,5.0,,DESN_0005XQD
16964,0 - Mitte,06 - Zentrum-Nord,Berliner Straße,12,,4105.0,01 - Vorderhaus,6 - Privateigentum,14 - Öffentliche Nutzung,143 - Sonstiges,0 - mit Wohnnutzung,5.0,5.0,0.0,Ja,1900.0,Nein,2010-10-26,Ja,Nein,2 - Zentralheizung,Nein,Nein,Nein,Nein,1995.0,Nein,Berliner Straße,12.0,,DESN_0005VOQ
16969,0 - Mitte,06 - Zentrum-Nord,Berliner Straße,14,,4105.0,01 - Vorderhaus,6 - Privateigentum,13 - Wohngebäude,135 - Mehrfamilien – Reihenhaus,0 - mit Wohnnutzung,5.0,10.0,0.0,Nein,1879.0,Nein,2010-10-26,Ja,Nein,2 - Zentralheizung,Nein,Nein,Nein,Nein,1995.0,Nein,Berliner Straße,14.0,,DESN_0015YRD
16970,0 - Mitte,06 - Zentrum-Nord,Berliner Straße,14,,4105.0,01 - Vorderhaus,6 - Privateigentum,13 - Wohngebäude,135 - Mehrfamilien – Reihenhaus,0 - mit Wohnnutzung,5.0,10.0,0.0,Nein,1879.0,Nein,2010-10-26,Ja,Nein,2 - Zentralheizung,Nein,Nein,Nein,Nein,1995.0,Nein,Berliner Straße,14.0,,DESN_0005XQN
35907,0 - Mitte,06 - Zentrum-Nord,Erich-Weinert-Straße,14,,4105.0,01 - Vorderhaus,1 - Kommunal,13 - Wohngebäude,135 - Mehrfamilien – Reihenhaus,,5.0,10.0,0.0,Nein,1900.0,Nein,2013-03-07,k.A.,Nein,3 - Ofenheizung,Nein,Nein,Nein,Nein,,Nein,Erich-Weinert-Straße,14.0,,DESN_0005XPY
35908,0 - Mitte,06 - Zentrum-Nord,Erich-Weinert-Straße,16,,4105.0,01 - Vorderhaus,4 - Sonstige,14 - Öffentliche Nutzung,142 - Bürohaus,,6.0,0.0,0.0,Ja,1996.0,Nein,2013-03-07,k.A.,Nein,2 - Zentralheizung,Nein,Nein,Nein,Nein,,Nein,Erich-Weinert-Straße,16.0,,DESN_0018LMW
35910,0 - Mitte,06 - Zentrum-Nord,Erich-Weinert-Straße,19,,4105.0,01 - Vorderhaus,4 - Sonstige,14 - Öffentliche Nutzung,142 - Bürohaus,,3.0,0.0,0.0,Nein,1920.0,Nein,2013-03-07,k.A.,Nein,2 - Zentralheizung,Nein,Nein,Nein,Nein,2000.0,Nein,Erich-Weinert-Straße,19.0,,DESN_0005XQG
36803,0 - Mitte,06 - Zentrum-Nord,Ernst-Pinkert-Straße,9,,4105.0,01 - Vorderhaus,6 - Privateigentum,13 - Wohngebäude,135 - Mehrfamilien – Reihenhaus,,5.0,9.0,0.0,Nein,1870.0,Nein,2002-10-28,Ja,Nein,3 - Ofenheizung,Nein,Nein,Nein,Nein,,Nein,Ernst-Pinkert-Straße,9.0,,DESN_0005XMN
